ID,shape,orientation
0.png,2,0
1.png,0,1
10.png,0,1
100.png,1,0
101.png,2,1
102.png,0,1
103.png,1,0
104.png,0,1
105.png,1,0
106.png,1,0
107.png,1,0
108.png,1,1
109.png,0,1
11.png,1,0
110.png,0,1
111.png,1,0
112.png,0,1
113.png,2,1
114.png,2,1
115.png,0,1
116.png,0,1
117.png,1,1
118.png,1,1
119.png,0,1
12.png,0,1
120.png,0,1
121.png,2,0
122.png,1,0
123.png,0,1
124.png,0,1
125.png,1,1
126.png,1,1
127.png,1,1
128.png,1,1
129.png,0,1
13.png,1,1
130.png,0,1
131.png,1,0
132.png,0,1
133.png,1,1
134.png,0,1
135.png,1,0
136.png,2,0
137.png,0,1
138.png,0,1
139.png,1,0
14.png,1,0
140.png,1,0
141.png,1,0
142.png,1,1
143.png,0,1
144.png,1,1
145.png,1,0
146.png,1,1
147.png,2,0
148.png,1,0
149.png,0,1
15.png,1,1
150.png,0,1
151.png,2,1
152.png,2,1
153.png,1,0
154.png,2,0
155.png,1,1
156.png,1,0
157.png,1,0
158.png,1,0
159.png,1,1
16.png,1,0
160.png,2,0
161.png,0,1
162.png,0,1
163.png,0,1
164.png,0,1
165.png,0,1
166.png,0,1
167.png,1,1
168.png,0,1
169.png,0,1
17.png,0,1
170.png,0,1
171.png,1,0
172.png,0,1
173.png,1,1
174.png,0,1
175.png,0,1
176.png,0,1
177.png,0,1
178.png,1,0
179.png,1,0
18.png,0,1
180.png,2,0
181.png,1,0
182.png,0,1
183.png,0,1
184.png,0,1
185.png,0,0
186.png,0,1
187.png,0,1
188.png,0,1
189.png,0,1
19.png,1,0
190.png,2,1
191.png,0,1
192.png,0,1
193.png,2,0
194.png,1,0
195.png,1,0
196.png,0,1
197.png,0,1
198.png,0,1
199.png,1,0
2.png,0,1
20.png,1,1
200.png,0,1
201.png,1,0
202.png,0,1
203.png,0,1
204.png,0,1
205.png,1,1
206.png,0,1
207.png,2,0
208.png,0,1
209.png,0,1
21.png,0,1
210.png,1,1
211.png,0,1
212.png,1,1
213.png,2,0
214.png,0,1
215.png,1,1
216.png,1,0
217.png,0,1
218.png,1,0
219.png,2,1
22.png,1,0
220.png,1,0
221.png,1,0
222.png,2,0
223.png,1,1
224.png,2,0
225.png,1,1
226.png,1,0
227.png,2,0
228.png,1,1
229.png,1,0
23.png,0,1
230.png,1,0
231.png,0,1
232.png,0,1
233.png,1,1
234.png,1,1
24.png,0,1
25.png,0,1
26.png,0,0
27.png,0,1
28.png,0,1
29.png,1,1
3.png,2,1
30.png,1,0
31.png,0,1
32.png,0,1
33.png,1,1
34.png,2,1
35.png,1,1
36.png,2,0
37.png,0,1
38.png,1,0
39.png,1,0
4.png,1,0
40.png,0,1
41.png,1,1
42.png,1,1
43.png,0,1
44.png,0,1
45.png,1,0
46.png,0,1
47.png,0,1
48.png,1,0
49.png,0,1
5.png,0,1
50.png,0,1
51.png,0,1
52.png,1,1
53.png,1,0
54.png,1,1
55.png,0,1
56.png,1,1
57.png,0,1
58.png,0,1
59.png,1,1
6.png,0,1
60.png,0,1
61.png,0,1
62.png,2,1
63.png,0,1
64.png,1,0
65.png,0,1
66.png,0,1
67.png,2,0
68.png,2,1
69.png,0,1
7.png,1,0
70.png,1,0
71.png,1,0
72.png,2,1
73.png,0,1
74.png,2,1
75.png,0,1
76.png,1,1
77.png,2,1
78.png,1,1
79.png,1,1
8.png,2,0
80.png,1,0
81.png,2,0
82.png,0,1
83.png,1,1
84.png,0,1
85.png,0,1
86.png,1,0
87.png,0,1
88.png,1,1
89.png,1,0
9.png,2,1
90.png,2,0
91.png,0,1
92.png,0,1
93.png,0,1
94.png,0,1
95.png,1,0
96.png,0,1
97.png,2,0
98.png,0,1
99.png,0,1
